20
500 500
131 264 4
385 471 1
6 419 5
94 183 3
277 293 2
33 457 1
244 210 1
364 227 4
244 242 1
459 388 2
231 257 1
86 218 3
213 94 4
165 380 1
324 238 1
35 308 1
158 444 4
441 59 2
161 411 4
60 262 4
398 320 3
102 95 5
299 220 1
500 391 2
454 430 4
234 487 1
126 94 1
95 404 3
308 94 5
245 399 5
248 197 4
296 260 4
230 477 2
329 371 1
33 30 4
412 210 2
276 23 2
105 98 2
32 171 2
296 107 5
247 229 4
324 153 3
323 424 4
403 353 3
239 433 3
169 26 3
128 434 4
28 222 4
405 304 4
94 448 2
131 36 2
256 482 5
101 152 3
442 285 2
241 111 1
71 31 5
30 292 5
435 242 4
7 382 3
497 430 3
47 90 1
500 275 1
37 246 3
332 399 4
367 479 2
380 190 4
294 375 5
169 379 4
270 378 3
492 155 1
151 194 4
449 395 1
360 232 4
324 176 2
12 344 4
54 417 4
175 488 1
418 119 3
267 160 3
11 54 1
387 487 2
231 89 2
142 392 1
176 194 1
382 426 4
96 460 5
316 132 4
10 261 2
65 348 1
108 100 2
295 341 4
32 11 5
187 307 4
343 68 5
453 138 1
367 320 4
226 91 1
19 120 3
8 38 4
76 242 4
48 190 5
167 461 5
414 134 2
353 66 4
485 175 4
195 456 4
106 301 3
6 495 5
189 19 5
282 487 3
249 94 2
138 37 2
358 454 2
387 110 5
8 57 2
489 343 4
460 19 5
58 242 2
361 330 2
213 8 3
424 78 1
303 357 5
266 227 2
381 396 2
219 82 3
367 30 5
166 89 3
493 453 1
303 388 3
146 16 2
433 451 4
30 56 2
218 47 3
361 194 3
348 144 4
334 469 2
11 43 1
432 338 4
209 95 4
368 114 1
250 349 4
96 475 1
448 489 5
254 155 5
212 409 2
60 380 2
405 101 5
439 392 1
395 499 3
202 222 3
231 179 1
319 298 3
365 142 4
126 282 3
60 260 4
498 44 5
100 247 5
18 58 2
307 295 1
66 426 2
258 99 1
149 31 3
287 255 2
402 491 3
235 205 4
222 75 5
17 104 4
177 392 4
151 471 4
496 305 5
320 234 5
435 222 3
186 472 4
376 469 5
226 52 2
31 168 4
339 343 5
475 183 1
227 66 1
276 214 2
101 2 5
395 311 2
175 28 4
326 349 1
314 337 4
493 315 3
392 468 4
470 112 4
338 154 4
58 158 3
65 343 1
390 45 5
15 283 4
355 17 1
351 52 5
65 457 4
27 84 3
146 216 4
73 425 3
494 283 5
447 260 4
34 306 1
436 179 4
183 307 5
4 130 4
322 474 4
474 376 5
129 323 3
318 8 4
291 142 3
452 339 5
423 79 4
295 392 5
69 447 5
191 49 3
428 234 5
289 79 3
41 11 2
319 208 5
310 222 1
320 307 1
230 199 3
371 110 3
101 156 2
191 84 2
233 429 4
424 72 4
62 390 5
187 432 3
441 362 1
329 32 3
213 25 5
57 169 4
139 296 3
233 68 5
489 282 1
57 357 5
219 50 1
108 105 2
51 362 2
296 436 3
410 346 4
9 197 1
45 305 1
472 269 1
489 233 4
129 289 3
475 249 1
200 183 4
250 279 5
97 255 2
317 204 2
350 478 5
138 225 5
213 484 4
131 365 2
340 231 5
102 391 1
68 18 5
161 468 5
186 37 5
167 211 2
300 100 1
170 219 2
363 283 4
475 368 3
231 447 1
272 30 2
392 471 2
53 317 4
161 442 4
115 227 1
183 316 2
265 198 4
2 454 1
72 316 2
449 372 3
149 221 5
360 349 2
1 102 2
1 173 2
436 246 4
481 240 5
343 409 1
53 39 2
486 292 3
375 164 4
372 17 5
147 51 1
151 168 3
481 30 5
407 285 2
198 438 2
365 4 5
86 383 4
204 257 1
107 305 3
493 450 4
393 83 5
149 479 2
78 105 1
218 363 2
56 400 4
112 366 2
458 192 3
331 399 3
130 484 4
328 42 1
201 371 1
27 19 1
361 45 2
339 20 4
402 146 2
362 329 3
441 421 3
209 146 5
61 410 1
430 188 4
470 383 3
439 19 1
488 385 3
224 295 3
276 336 3
291 160 1
472 301 5
402 430 2
316 198 1
289 163 5
87 275 2
410 329 4
321 228 5
23 466 2
362 43 3
409 217 1
393 239 1
437 37 4
484 75 4
106 132 5
219 193 2
487 357 5
209 136 3
477 459 2
258 160 3
493 120 3
249 197 2
257 375 1
287 398 4
203 249 2
105 462 5
146 266 3
193 220 3
5 106 1
323 364 1
244 65 4
445 364 3
481 446 1
106 248 3
321 235 3
221 140 1
288 25 2
345 70 4
326 269 1
153 270 2
263 178 5
325 401 4
238 333 4
65 238 5
212 490 3
427 253 1
55 30 5
343 259 3
124 80 2
488 481 4
113 76 5
489 167 4
439 46 5
464 370 5
153 157 4
296 317 3
27 177 2
449 77 2
251 304 1
260 228 3
195 277 1
225 144 3
80 374 5
255 138 2
430 69 5
196 321 1
144 480 5
389 203 4
100 302 3
212 321 4
420 79 1
198 233 5
56 299 4
199 251 4
285 36 2
471 274 2
159 39 3
238 322 1
293 160 4
327 137 2
216 223 4
204 8 5
182 300 4
125 53 5
305 370 3
134 206 4
93 106 2
80 195 2
151 11 1
467 81 4
344 99 4
383 243 2
215 173 3
472 302 5
80 329 3
160 339 3
426 87 3
25 230 3
427 474 3
332 152 4
254 243 3
487 157 5
161 31 4
399 318 4
498 233 4
383 309 1
102 31 3
271 171 3
147 222 1
101 288 4
73 475 4
115 11 3
141 275 3
93 334 3
149 170 1
495 211 3
11 411 5
82 68 3
34 119 2
390 129 2
195 364 4
460 175 4
461 64 1
315 376 1
366 498 5
397 14 5
400 55 1
166 146 5
319 216 1
498 32 4
180 367 4
491 31 5
363 12 1
44 289 5
461 84 2
122 28 5
362 417 3
37 399 3
362 308 1
145 300 4
24 463 4
468 440 4
351 98 1
270 486 1
183 87 1
392 71 3
144 250 5
50 25 2
141 467 5
82 369 2
447 31 3
456 86 1
14 489 1
246 127 2
222 217 1
339 473 5
268 51 3
93 178 5
171 71 1
426 211 2
311 110 4
10 431 3
32 325 4
257 315 1
285 369 4
90 49 1
343 462 4
53 358 3
299 470 1
110 128 3
68 241 4
238 70 4
58 500 1
178 252 3
22 202 5
169 304 5
133 379 3
500 500
257 383 1
233 53 2
98 483 1
90 420 4
241 128 3
5 403 2
208 422 4
472 169 4
201 86 4
279 488 4
127 59 5
353 218 3
50 124 2
181 109 5
399 282 1
410 147 1
66 55 1
64 351 3
174 85 1
157 189 4
177 422 4
356 479 4
257 406 2
133 232 1
146 66 4
299 104 4
441 252 5
285 219 5
433 27 2
335 446 1
300 463 5
395 52 1
387 454 1
66 357 5
99 136 3
428 299 1
443 317 5
392 363 1
323 89 2
226 141 1
288 142 2
124 439 3
248 413 2
169 489 2
242 272 4
268 415 5
307 383 4
131 190 3
17 328 2
439 300 4
363 500 5
127 58 5
313 43 5
384 208 3
234 240 2
13 344 2
28 348 4
113 194 2
86 256 1
313 477 2
52 50 2
358 247 5
459 462 5
198 184 2
214 120 4
165 303 2
290 65 1
381 307 1
204 449 4
236 221 1
244 399 3
231 476 1
352 399 2
162 32 1
277 5 3
208 349 3
19 417 3
366 422 1
140 90 3
394 452 2
456 258 1
81 126 5
175 77 1
103 494 5
409 324 5
370 28 4
499 98 2
431 209 2
208 305 1
253 172 2
422 124 4
70 494 2
327 120 3
198 145 4
406 133 3
345 125 5
219 229 3
221 63 4
330 265 4
3 230 3
339 356 1
204 4 4
465 112 1
412 310 3
129 483 1
252 141 2
174 380 1
46 270 5
399 11 2
107 277 1
147 104 3
400 247 5
398 448 5
482 139 3
258 304 3
357 105 2
151 214 1
91 36 5
322 245 3
25 39 2
463 470 1
36 53 5
271 240 3
471 410 3
310 233 4
500 427 4
