100 7000
39 79 708
99 68 983
61 10 428
94 24 972
59 32 120
69 13 630
51 93 755
5 65 476
61 47 606
5 73 189
92 8 728
28 70 487
73 61 311
94 4 691
15 76 564
23 61 190
74 20 645
90 38 691
81 8 224
75 67 101
19 68 902
37 45 672
42 1 988
71 37 503
45 33 801
9 16 956
48 4 200
48 71 377
69 98 783
31 12 8
50 24 38
63 86 311
41 36 608
54 9 837
68 61 963
27 81 667
80 97 759
89 96 480
5 86 536
99 79 261
11 27 308
31 66 692
74 88 153
34 19 77
39 18 590
64 72 809
23 87 778
47 68 100
93 42 747
62 59 50
61 46 624
77 80 697
40 92 437
45 52 269
48 96 84
95 49 704
62 100 1
77 95 322
46 13 639
74 8 845
50 91 261
58 24 278
60 39 66
83 19 967
19 14 70
43 14 961
20 77 469
27 41 624
3 50 837
60 67 354
73 82 369
65 28 857
6 44 597
32 52 428
28 16 821
87 99 411
30 5 291
27 36 2
48 53 217
82 97 888
32 64 786
98 56 269
29 35 323
9 91 289
24 92 656
25 66 646
49 51 292
94 6 626
31 29 457
51 67 687
83 35 398
99 74 728
98 75 71
76 38 540
65 22 861
95 76 115
19 90 564
100 36 438
58 78 615
21 9 951
20 49 885
64 78 471
10 37 745
27 48 868
43 25 188
18 67 881
30 92 783
20 21 894
30 83 593
7 87 825
100 84 879
100 97 663
27 81 637
88 59 617
51 27 531
5 72 753
1 90 620
74 50 306
36 92 858
58 81 345
7 81 701
75 90 352
70 56 946
4 40 982
78 76 249
89 81 694
12 56 509
45 49 735
69 23 5
3 24 794
93 72 900
73 66 827
11 12 916
95 26 748
35 18 548
57 8 122
10 87 317
83 53 488
29 89 980
75 51 274
60 46 69
24 2 722
92 77 800
69 95 836
20 1 802
77 26 32
6 27 365
81 14 861
38 9 317
91 5 523
43 77 553
85 33 250
11 27 74
20 3 487
100 20 631
76 40 555
60 1 694
66 3 138
56 23 356
16 79 312
35 58 788
1 57 600
70 36 201
69 26 73
77 73 309
13 7 196
98 30 678
67 4 720
6 17 603
100 7 779
89 58 735
48 91 98
30 11 402
31 56 802
24 20 310
69 68 276
81 93 659
49 48 736
56 5 637
34 47 689
39 44 989
44 19 997
16 95 269
50 51 776
19 36 82
12 6 953
76 93 224
80 20 754
70 30 306
22 5 313
31 57 336
